Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Glemet Ophelie,1313051,Marseille,CL S1F,9,8,8,7,6,M,X,10,9,9,9,8,10,9,9,8,8,7,X,9,9,9,8,7,X,10,9,9,9,7,10,9,9,8,8,8
Bassimon Lou,0762288,Monchy Au Bois,CL S1F,10,10,9,9,7,5,6,6,5,5,4,4,X,9,8,7,7,5,X,X,9,7,7,5,10,10,9,8,5,5,7,7,6,6,4,3
Bassimon Lou,0762288,Monchy Au Bois,CL S1F,9,9,9,9,8,6,10,10,8,8,7,6,10,10,9,8,8,4,10,9,9,7,7,5,10,9,8,7,4,M,9,9,8,7,6,4
Constantin Alizee,1285122,Fontenay Le Comte,CL S1F,X,9,9,9,7,7,9,8,8,7,7,6,8,7,7,7,7,7,10,9,9,9,8,6,10,7,7,7,7,6,10,9,9,9,9,7
Constantin Alizee,1285122,Fontenay Le Comte,CL S1F,10,10,9,7,7,7,10,8,8,7,7,6,9,8,8,8,6,5,9,9,8,8,6,6,7,7,7,6,5,4,9,8,8,8,7,5
Ruggieri Laura,1313051,Marseille,CL S1F,8,6,5,5,5,4,10,9,8,8,8,7,9,9,9,8,8,7,10,10,9,9,9,7,10,9,9,8,7,7,10,8,8,8,8,7
Ruggieri Laura,1313051,Marseille,CL S1F,9,9,9,8,8,5,7,M,M,M,M,M,6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Ricci Thais,0762288,Monchy Au Bois,CL U18F,8,7,7,5,5,2,10,10,9,8,5,M,9,8,8,8,7,3,10,8,8,7,7,4,10,9,9,9,8,6,10,9,8,7,6,5
Ricci Thais,0762288,Monchy Au Bois,CL U18F,9,8,7,7,5,5,X,9,9,7,3,3,8,6,6,5,4,2,8,7,7,6,6,4,9,9,9,8,6,6,10,9,9,6,5,3
Constantin Ambre,1285122,Fontenay Le Comte,CL U21F,9,8,7,7,7,6,9,9,8,8,7,5,10,9,8,8,7,5,10,9,8,8,7,6,8,8,7,7,6,2,9,9,9,6,6,4
Constantin Ambre,1285122,Fontenay Le Comte,CL U21F,10,8,8,7,6,5,X,10,9,9,8,6,10,9,8,7,5,5,10,10,9,8,6,6,9,8,8,8,5,4,8,8,8,8,7,6
Pernot Clara,1166191,Perpignan,CL S1F,9,9,7,7,5,4,9,9,8,7,5,3,8,8,7,7,7,4,9,9,9,8,7,M,X,9,9,8,7,3,9,9,8,8,8,7
