Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Girault Lea,0760171,Compiegne,CO S1F,X,10,9,9,9,8,X,X,X,10,10,9,X,10,10,9,9,9,X,10,10,10,10,10,X,X,10,9,9,9,X,X,10,9,9,8
Girault Lea,0760171,Compiegne,CO S1F,X,10,10,9,9,8,10,10,10,10,9,9,10,10,10,9,8,8,10,10,9,9,9,9,X,10,9,9,9,9,X,X,X,10,9,8
Fraigneau Clemence,0437083,St Avertin,CO S1F,X,10,9,9,9,9,X,9,9,9,9,9,10,10,10,9,9,8,X,10,10,9,9,9,10,10,9,9,9,8,10,9,9,9,9,9
Fraigneau Clemence,0437083,St Avertin,CO S1F,9,9,9,9,9,9,X,10,10,10,9,9,X,X,9,9,9,9,X,X,10,9,9,9,X,10,9,9,8,8,10,10,9,9,9,9
Chesse Joanna,0893225,Neuilly Sur Marne,CO S2F,X,X,8,8,8,7,10,9,8,8,8,8,10,9,9,8,8,8,X,10,9,9,9,8,9,9,9,9,8,8,10,10,9,8,8,8
Chesse Joanna,0893225,Neuilly Sur Marne,CO S2F,10,10,9,9,9,8,X,9,9,9,9,8,X,10,9,9,9,8,X,10,9,9,9,8,X,10,10,9,8,7,9,9,8,8,8,7
Palaric Aenor,0760171,Compiegne,CO S1F,X,X,9,9,9,8,10,10,9,9,9,8,10,9,9,9,9,8,10,10,9,9,8,7,10,9,9,9,9,8,X,10,10,9,9,8
Palaric Aenor,0760171,Compiegne,CO S1F,X,X,X,9,9,8,X,X,10,10,10,8,9,9,9,8,8,7,X,X,10,9,9,9,10,10,9,9,9,9,X,10,9,9,9,8
Saliou Marie,0437083,St Avertin,CO S1F,X,10,10,9,9,9,9,9,9,9,8,8,X,X,10,9,8,8,X,10,10,9,9,9,X,10,9,8,8,8,X,X,X,10,10,9
Saliou Marie,0437083,St Avertin,CO S1F,X,10,10,10,9,9,X,10,9,9,8,8,X,10,10,9,9,8,X,10,10,9,9,9,10,10,9,9,9,7,X,9,9,9,9,9
Drelon Carole,0893225,Neuilly Sur Marne,CO S2F,X,10,9,9,9,7,10,10,8,8,8,7,10,10,9,9,9,9,10,10,10,9,9,9,X,10,10,10,9,5,9,9,9,9,8,7
Drelon Carole,0893225,Neuilly Sur Marne,CO S2F,X,10,9,9,9,8,X,10,10,9,9,8,9,9,9,8,8,M,X,9,9,9,8,6,X,X,10,9,9,8,10,9,9,9,8,7
Puiseux Ambre,0760171,Compiegne,CO S1F,X,X,10,10,9,9,X,10,9,9,9,9,X,10,10,9,9,9,10,9,9,9,9,8,X,10,10,9,9,8,X,X,X,10,10,9
Puiseux Ambre,0760171,Compiegne,CO S1F,X,10,10,9,9,9,10,10,10,10,10,9,X,X,10,10,9,9,X,10,10,10,9,9,X,X,X,10,9,9,X,10,10,10,9,9
Villemur Nathalie,0437083,St Avertin,CO S2F,9,9,9,9,9,8,9,9,9,9,9,8,9,9,9,9,9,7,X,9,9,9,9,9,X,10,9,9,8,7,X,10,10,10,9,9
Villemur Nathalie,0437083,St Avertin,CO S2F,X,10,9,9,9,9,10,10,9,9,9,9,X,X,X,10,9,8,X,X,10,10,9,9,X,X,10,8,8,8,X,10,9,9,8,8
Poulard Sarah,0893225,Neuilly Sur Marne,CO S1F,10,9,9,8,7,7,X,10,10,8,8,7,X,10,9,8,8,7,X,X,9,8,8,8,9,9,9,9,9,7,10,10,10,9,7,7
Poulard Sarah,0893225,Neuilly Sur Marne,CO S1F,X,10,9,9,9,9,9,9,9,9,8,8,X,X,10,9,8,7,9,9,9,9,9,8,10,10,9,9,8,7,X,X,9,9,9,9
Gaubil Melanie,0760171,Compiegne,CO S1F,X,10,9,9,9,8,X,10,9,9,9,8,X,10,9,9,9,8,10,10,9,9,9,8,X,10,9,8,8,7,10,9,9,9,9,9
Gaubil Melanie,0760171,Compiegne,CO S1F,X,X,X,10,9,8,10,10,10,9,9,8,10,10,9,8,8,8,X,X,9,9,9,9,X,9,9,9,9,9,X,X,10,10,10,10
Aubert Nolwenn,0335067,Rennes Cie,CO S1F,X,10,9,8,8,8,9,9,9,8,8,8,10,9,8,8,7,6,8,8,8,8,7,7,X,9,9,8,8,8,9,9,9,9,8,8
Aubert Nolwenn,0335067,Rennes Cie,CO S1F,10,9,9,9,8,7,10,10,9,9,8,7,X,9,9,8,8,7,9,9,9,9,9,9,9,9,9,8,8,8,10,10,9,8,8,7
Lacoutiere Diane,1016003,Ruelle Sur Touvre,CO S1F,10,9,9,7,7,M,10,9,9,8,8,7,10,9,8,7,7,7,10,9,9,8,8,8,10,9,9,9,8,7,9,8,8,8,7,7
Lacoutiere Diane,1016003,Ruelle Sur Touvre,CO S1F,10,9,9,9,8,8,X,10,9,9,9,9,9,9,9,8,8,8,X,10,9,8,8,8,10,9,9,9,8,8,X,X,9,8,7,7
Conesa Anna,1313090,St Martin De Crau,CO S2F,9,9,9,9,9,8,X,10,10,10,10,9,X,X,10,10,9,8,X,10,9,9,9,8,X,10,9,9,9,9,X,10,10,10,10,9
Conesa Anna,1313090,St Martin De Crau,CO S2F,10,9,9,9,9,9,10,9,9,9,8,8,10,10,10,9,9,8,X,X,10,9,8,8,X,10,9,9,9,8,X,X,X,10,9,9
Jeannin Lucie,0335067,Rennes Cie,CO S1F,X,X,X,10,9,9,10,9,9,9,9,9,10,10,10,9,9,9,X,10,10,9,9,8,X,10,10,9,9,9,10,10,9,9,9,8
Jeannin Lucie,0335067,Rennes Cie,CO S1F,10,10,9,9,9,9,X,10,10,10,9,9,X,10,10,9,9,8,X,10,10,9,9,9,X,10,10,10,9,9,X,X,10,10,10,9
Bazin Bertille,1016003,Ruelle Sur Touvre,CO S2F,10,9,9,9,8,8,X,9,9,9,8,8,X,10,9,9,8,7,X,10,9,9,9,8,10,9,8,8,8,8,10,9,9,9,8,7
Bazin Bertille,1016003,Ruelle Sur Touvre,CO S2F,X,9,9,9,8,8,X,9,9,8,8,7,X,X,9,9,9,8,X,10,9,9,8,7,9,9,8,8,8,8,10,10,9,9,8,8
Ferraud Alexia,1313090,St Martin De Crau,CO S1F,9,9,9,8,7,7,9,9,9,9,8,8,X,10,9,8,8,7,X,9,9,9,9,9,X,10,9,8,8,7,10,9,9,8,8,8
Ferraud Alexia,1313090,St Martin De Crau,CO S1F,10,10,9,8,8,7,10,10,9,8,8,8,10,9,9,8,8,8,10,9,9,9,9,6,10,10,9,9,9,8,X,10,9,9,9,9
O'sullivan Lucy,0335067,Rennes Cie,CO S1F,X,10,10,9,9,9,X,10,9,9,9,8,10,10,10,9,9,9,10,9,9,9,8,7,10,10,9,9,9,9,X,10,9,9,9,8
O'sullivan Lucy,0335067,Rennes Cie,CO S1F,X,X,10,10,9,9,10,10,10,9,8,8,10,10,9,8,8,7,10,10,10,9,9,9,X,10,9,9,8,8,X,10,10,9,9,8
Bouron Laetitia,1016003,Ruelle Sur Touvre,CO S2F,10,9,9,9,9,8,X,10,10,9,8,8,10,9,9,9,8,8,10,9,9,9,9,8,X,X,9,9,9,8,10,9,9,8,8,7
Bouron Laetitia,1016003,Ruelle Sur Touvre,CO S2F,X,X,10,9,9,8,X,9,9,8,8,8,9,9,9,9,8,7,10,10,10,9,8,8,9,9,9,9,9,9,10,10,9,9,8,8
Girard Marion,1313090,St Martin De Crau,CO S1F,X,10,10,9,9,9,X,10,10,8,8,8,X,10,10,10,9,8,X,X,10,9,9,9,10,10,10,9,9,8,10,9,9,9,8,8
Girard Marion,1313090,St Martin De Crau,CO S1F,X,X,X,X,9,9,X,10,9,9,8,8,X,10,10,10,9,9,X,9,9,9,9,8,X,10,10,9,9,8,X,X,X,10,9,9
Pourrier Pauline,0335067,Rennes Cie,CO S1F,10,9,9,9,8,8,X,10,9,9,9,7,10,10,10,9,9,8,10,10,10,9,9,8,X,X,10,10,8,8,X,9,9,9,9,9
Pourrier Pauline,0335067,Rennes Cie,CO S1F,10,10,10,9,9,7,X,X,10,10,9,9,10,9,9,9,9,9,X,X,10,9,9,8,10,10,9,9,8,8,10,10,10,10,9,9
Menard Astrid,1016003,Ruelle Sur Touvre,CO S1F,10,10,9,9,9,7,X,10,10,9,8,7,10,10,9,9,8,7,X,10,10,10,8,8,10,10,9,9,8,6,10,10,9,8,8,7
Menard Astrid,1016003,Ruelle Sur Touvre,CO S1F,10,9,9,8,8,8,10,9,9,8,8,7,X,9,9,9,8,7,10,10,9,9,9,7,10,9,9,9,9,9,10,10,9,8,8,7
Kiener Audrey,1313090,St Martin De Crau,CO S2F,X,X,X,9,9,8,X,10,10,9,8,7,X,10,9,9,9,6,X,10,9,9,8,M,X,10,10,9,9,M,X,9,8,7,6,M
Kiener Audrey,1313090,St Martin De Crau,CO S2F,10,10,10,9,9,8,10,10,10,9,9,9,X,9,9,9,9,7,10,10,9,9,8,8,10,9,9,9,8,8,X,10,10,9,9,8
Villeret-Szawrowski Emma,0335067,Rennes Cie,CO U21F,9,9,9,8,8,7,X,9,9,8,8,7,X,10,10,9,8,7,10,9,9,8,7,6,10,9,9,9,8,8,10,9,9,9,8,7
Villeret-Szawrowski Emma,0335067,Rennes Cie,CO U21F,10,9,9,9,9,7,10,9,9,9,9,7,X,X,9,9,8,8,X,9,8,8,8,8,10,9,9,9,9,8,X,10,10,9,8,7
Rigault Chupin Julie,1016003,Ruelle Sur Touvre,CO S2F,X,X,9,9,8,8,X,10,9,9,9,9,X,10,9,9,8,8,X,10,10,9,8,7,X,10,9,9,9,9,10,10,10,10,10,9
Rigault Chupin Julie,1016003,Ruelle Sur Touvre,CO S2F,X,10,10,9,9,8,X,9,9,9,9,8,X,10,9,9,9,8,10,10,9,9,9,8,10,10,9,9,9,9,X,10,10,10,9,8
Teillard Anne,1244009,Carquefou,CO S2F,9,9,9,8,8,6,X,9,9,8,8,7,X,10,9,9,9,8,10,9,9,9,6,M,9,8,8,8,8,7,9,9,9,9,9,8
Teillard Anne,1244009,Carquefou,CO S2F,X,10,9,9,8,8,X,9,9,9,8,8,X,10,10,9,7,7,X,X,10,10,9,8,10,9,9,8,8,7,9,9,9,9,9,6
Bablee Agnes,0335067,Rennes Cie,CO S2F,10,9,9,9,8,8,X,10,8,8,8,6,10,10,10,9,8,8,10,9,9,9,9,8,X,10,9,8,8,7,10,9,9,9,9,9
Bablee Agnes,0335067,Rennes Cie,CO S2F,X,10,9,9,9,8,10,10,9,9,8,8,10,10,9,8,7,M,10,10,10,10,9,8,X,X,9,9,9,8,X,10,10,9,9,8
Dorier Eloise,0271076,Macon,CO S1F,X,10,10,9,8,8,9,9,9,9,8,8,X,10,10,8,8,7,X,10,9,9,7,7,10,10,10,9,9,9,X,X,9,9,9,7
Dorier Eloise,0271076,Macon,CO S1F,10,10,9,9,9,7,X,10,10,9,9,8,X,9,9,9,8,8,X,X,9,9,8,5,10,9,8,8,8,6,9,9,9,8,7,7
Adam Olympe,1244009,Carquefou,CO S1F,10,9,9,9,9,8,10,9,9,9,9,7,10,9,9,9,8,8,10,10,10,9,9,8,X,X,10,9,9,8,X,10,9,8,8,8
Adam Olympe,1244009,Carquefou,CO S1F,10,10,9,9,9,8,10,9,9,8,8,7,X,X,X,10,9,9,9,9,9,9,8,8,X,10,10,9,9,8,X,10,9,9,9,8
Rotrou Anne Marie,0914003,Caen,CO S3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotrou Anne Marie,0914003,Caen,CO S3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
